,fruit,fruit,fruit,sport,sport,sport,bird,bird,bird,vehicle,vehicle,vehicle,crime,crime,crime,vegetable,vegetable,vegetable
Timestamp,apple,fig,strawberry,football,hockey,wrestling,ostrich,wren,robin,boat,tricycle,car,embezzling,murder,vagrancy,parsley,carrot,onion
5/7/2017 18:47:23,1,2,1,1,1,2,1,1,1,1,3,1,1,1,6,3,1,1
5/7/2017 20:39:12,1,6,1,1,1,1,3,2,1,2,5,1,2,1,6,3,1,2
5/7/2017 22:12:05,1,2,1,1,1,1,2,1,1,2,3,1,2,1,4,5,1,2
5/7/2017 22:17:02,1,7,1,1,1,1,1,6,2,4,2,1,1,1,7,6,1,3
5/7/2017 22:24:20,1,3,2,2,3,4,4,5,2,4,5,1,2,2,5,5,2,4
5/7/2017 22:25:46,1,2,2,2,1,2,5,1,1,4,5,1,4,1,6,5,1,4
5/7/2017 22:45:28,1,4,1,1,1,1,3,4,1,2,6,1,1,1,4,2,1,2
5/8/2017 0:24:55,1,4,2,1,1,1,2,3,1,4,3,1,1,1,1,6,1,1
5/8/2017 1:42:26,1,7,1,1,1,1,3,4,1,5,4,1,1,1,5,1,1,2
5/8/2017 7:29:44,1,3,1,1,2,3,3,4,1,2,4,1,3,1,4,4,1,4
5/8/2017 7:34:13,1,1,1,1,1,1,1,1,1,4,5,1,1,1,7,6,1,3
5/8/2017 10:06:34,1,5,1,2,3,3,4,3,2,3,5,1,2,1,4,4,1,2
5/8/2017 11:07:09,1,5,1,1,1,2,5,5,1,4,5,1,3,1,4,4,1,3
5/8/2017 12:01:14,1,1,2,1,1,1,1,1,1,2,4,1,2,1,3,4,2,3
5/8/2017 13:22:56,1,2,1,1,1,1,1,1,1,2,2,1,1,1,5,2,1,1
5/8/2017 14:21:22,1,3,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2
5/8/2017 15:49:12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
5/8/2017 17:06:06,1,6,3,2,3,4,6,2,2,3,6,1,3,1,2,2,2,3
5/8/2017 19:09:10,1,2,1,1,1,1,3,2,1,1,3,1,1,1,4,2,1,2
5/8/2017 19:15:17,1,4,1,1,1,1,2,3,1,1,2,1,2,1,3,1,1,1
5/8/2017 19:45:39,1,5,2,1,1,2,2,1,1,1,3,1,3,1,3,1,1,1
5/8/2017 19:59:53,1,7,2,1,5,6,2,7,1,3,7,1,5,1,7,3,1,3
5/8/2017 20:04:16,1,2,1,1,1,2,2,1,1,2,3,1,1,1,2,3,1,3
5/8/2017 20:54:15,1,5,1,1,3,4,5,4,2,2,5,1,3,1,3,6,2,6
5/8/2017 20:58:58,1,4,2,1,1,3,4,6,1,1,5,1,4,1,4,5,1,2
5/8/2017 21:14:50,2,2,1,1,3,2,2,3,2,7,4,1,2,1,3,3,1,5
5/8/2017 22:04:31,1,7,1,1,1,1,1,1,1,1,1,1,3,2,6,1,1,1
5/8/2017 23:41:53,1,4,3,1,3,3,5,3,1,4,6,1,1,1,6,6,2,4
5/8/2017 23:55:30,1,3,1,1,1,1,5,2,1,3,3,1,1,1,2,5,1,2
5/9/2017 0:07:05,1,7,1,1,2,4,1,6,1,6,6,1,2,1,6,6,1,2
5/9/2017 1:19:27,1,6,2,3,3,4,3,4,4,6,5,1,4,1,6,3,2,3
5/9/2017 10:48:45,1,7,3,1,6,3,3,7,1,4,7,1,3,1,7,7,1,1
5/9/2017 10:49:47,1,3,2,1,1,2,4,1,1,3,6,1,2,1,7,1,1,1
5/9/2017 11:11:26,1,4,1,1,1,1,4,4,1,5,6,1,4,1,7,4,1,4
5/9/2017 11:25:21,1,2,1,1,1,2,2,1,1,5,3,1,3,1,3,3,1,2
5/9/2017 11:47:28,1,2,1,1,1,1,1,3,1,6,7,1,1,1,5,2,1,2
5/9/2017 12:35:27,1,5,1,2,2,2,6,6,1,2,6,1,1,1,5,7,2,2
5/9/2017 12:52:43,1,4,1,1,1,2,3,2,1,3,7,1,3,1,5,2,1,2
5/9/2017 12:58:01,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1
